Kapitel;Titel;FKZ;Zweckbestimmung;Ist 2015 in T€;Soll 2016 in T€;Ansatz 2017 in T€
1012;28102;266;Erstattungen von Jugendhilfeleistungen;46,6;2,0;2,0
1012;28201;261;Zuschüsse vom Deutsch-Französischen Jugendwerk;19,5;20,0;20,0
1012;28202;261;Zuschüsse vom Deutsch-Polnischen Jugendwerk;22,9;20,0;20,0
1012;28203;261;Zuschüsse des Bundes für Maßnahmen der deutsch-israelischen Jugendarbeit;0,9;10,0;10,0
1012;28204;261;Zuschüsse des Bundes für Maßnahmen der deutsch-tschechischen Jugendarbeit;0,0;10,0;10,0
1012;28205;261;Zuschüsse des Bundes für Maßnahmen der deutsch-russischen Jugendarbeit;0,0;10,0;10,0
1012;35901;851;Entnahme aus der Rücklage Kap. 1012;0,0;0,0;0,0
1012;38101;891;Umsetzung des Ausführungsgesetzes zum ersten Glücksspieländerungsstaatsvertrag (Erster GlüÄndStV AG);2.575,3;2.773,7;2.853,2
1012;42201;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;1.268,5;1.132,4;1.114,5
1012;42801;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;1.356,5;1.641,5;1.812,8
1012;42802;263;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;59,5;90,0;90,0
1012;42803;011;Entgelte für Arbeitnehmerinnen und Arbeitnehmer;0,0;0,0;128,0
1012;52601;232;Gerichts- und ähnliche Kosten;0,0;17,0;17,0
1012;52602;266;Kosten der Schiedsstelle nach § 11 KJHSVO;0,3;4,0;4,0
1012;52603;261;Fachbeiräte und ähnliche Ausschüsse;3,1;3,2;3,2
1012;52604;266;Kosten für Sachverständige, Gutachten u.ä.;29,2;70,2;170,2
1012;52605;265;Erstattung von Dolmetscher- und Übersetzerkosten;0,0;8,0;8,0
1012;52706;261;Erstattung von Auslagen für Vorstellungsreisen Dritter (z.B. Jugendempfang beim Bundespräsidenten);0,0;0,9;0,9
1012;52904;261;Zur Verfügung für das Landesjugendamt und der/des Vorsitzenden des Landesjugendhilfeausschusses;0,2;0,5;0,5
1012;53103;291;Öffentlichkeitsarbeit;0,7;2,6;2,6
1012;53105;291;Öffentlichkeitsarbeit;6,2;5,0;5,0
1012;53301;263;Ausgaben aufgrund von Werkverträgen oder anderen Auftragsformen;4,1;10,0;10,0
1012;53302;236;Beratung männlicher Opfer von sexueller und häuslicher Gewalt;0,0;60,0;120,0
1012;53303;291;Ausgaben aufgrund von Werkverträgen oder anderen Auftragsformen;12,4;15,0;15,0
1012;53304;236;Leistungen im Rahmen der vertraulichen Spurensicherung;200,0;400,0;400,0
1012;53401;263;Sächliche Verwaltungsausgaben im Rahmen der Information von Eltern;15,4;34,0;34,0
1012;53403;261;Kosten der Ausrichtung der Sitzung der Bundesarbeitsgemeinschaft der Landesjugendämter;2,9;0,0;0,0
1012;53406;265;Sächliche Verwaltungsausgaben im Zusammenhang mit der Ausführung der Verwaltungsvereinbarung zur Heimerziehung in der Bundesrepublik Deutschland in den Jahren 1949 bis1975;99,6;200,0;117,6
1012;53407;291;Sächliche Verwaltungsausgaben im Zusammenhang mit der Ausführung der Verwaltungsvereinbarung zur Stiftung Anerkennung und Hilfe;0,0;0,0;16,0
1012;53501;236;Kosten für Veranstaltungen und Informationen;26,0;49,0;49,0
1012;53502;266;Kosten für interdisziplinäre Fortbildung und Qualifizierung;71,7;70,0;70,0
1012;53503;263;Kosten für interdisziplinäre Fortbildung und Qualifizierung;19,1;10,0;10,0
1012;54601;266;Kosten für Fortbildung und Qualifizierung im Rahmen der Weiterentwicklung der Jugendhilfe, Landesjugendhilfeplanung;50,7;60,2;60,2
1012;54602;266;Vermischte Verwaltungsausgaben;0,0;1,0;1,0
1012;54701;263;Nicht aufteilbare sächliche Verwaltungsausgaben;5,0;10,0;10,0
1012;54702;261;"Aktionsplan ""Echte Vielfalt""";0,0;0,0;0,0
1012;54703;291;Veranstaltungen;7,6;11,0;11,0
1012;54705;291;Veranstaltungen;0,1;10,0;10,0
1012;63101;237;Erstattungen an den Bund im Rahmen des Unterhaltsvorschussgesetzes;2.330,4;2.366,7;2.366,7
1012;63102;263;Erstattungen an den Bund im Rahmen der Abwicklung der Bund-Länder-Verwaltungsvereinbarung Bundesinitiative Netzwerke Frühe Hilfen und Familienhebammen;9,1;0,0;0,0
1012;63104;263;Erstattungen an den Bund;32,4;0,0;0,0
1012;63201;266;"Kosten der ""Gemeinsamen Zentralen Adoptionsstelle (GZA)""";124,6;134,0;136,0
1012;63202;263;Beteiligungen Schleswig-Holsteins an gemeinsamen Institutionen der Länder im Bereich der Jugendhilfe, insbesondere des Jugendschutzes;43,0;46,2;50,3
1012;63203;263;Beteiligungen Schleswig-Holsteins an gemeinsamen Institutionen der Länder im Bereich der Jugendhilfe, insbesondere des Jugendschutzes;0,0;0,0;0,0
1012;63301;237;Erstattungen an Kreise und kreisfreie Städte im Rahmen des Unterhaltsvorschussgesetzes;32.997,5;36.760,3;35.883,8
1012;63302;266;Zuweisungen für präventive Maßnahmen örtlicher Jugendhilfeträger;613,1;645,0;1.145,0
1012;63303;266;Beteiligung an Aufwendungen zum Schutz junger Menschen;366,8;463,5;463,5
1012;63304;219;Zuschüsse an Kommunen für innovative und modellhafte Projekte;0,0;0,0;10,0
1012;63305;236;Zuweisungen an Gemeinden und Gemeindeverbände für nach dem AGInsO anerkannte geeignete Stellen (Verbraucherinsolvenzberatung) und Präventionsmaßnahmen;698,0;175,7;700,0
1012;63306;265;Erstattungen an Kreise und kreisfreie Städte für die Mehrausgaben im Rahmen des Bundeskinderschutzgesetzes;3.000,0;3.000,0;3.000,0
1012;63307;291;Zuweisungen an Kreise und kreisfreie Städte für frühe Hilfen für Familien;436,5;450,0;1.050,0
1012;63308;265;Erstattung von Kosten der Jugendhilfe bei fehlendem gewöhnlichen Aufenthalt;20.885,0;250,0;400,0
1012;63310;263;Zuweisungen an Kreise und kreisfreie Städte im Zusammenhang mit der Bund-Länder-Verwaltungsvereinbarung Bundesinitiative Netzwerke Frühe Hilfen und Familienhebammen;1.496,0;1.496,1;1.496,1
1012;63312;291;Zuweisungen an Gemeinden und Gemeindeverbände für innovative Projekte zur Weiterentwicklung des bürgerschaftlichen Engagements;2,9;4,3;4,3
1012;63314;291;"Zuweisungen an Gemeinden und Gemeindeverbände für die Einrichtung von Anlauf- und Beratungsstellen ""Ehrenamtliche in der Flüchtlingshilfe""";0,0;1.000,0;1.000,0
1012;63315;265;Erstattung von Kosten der Hilfe zur Erziehung für unbegleitete minderjährige Ausländer und Asylbewerber;0,0;64.965,4;89.525,3
1012;63317;265;Erstattung von Kosten zur Finanzierung von Verbindungsstellen bei den Kreisen und kreisfreien Städten;0,0;837,1;0,0
1012;63401;261;"Gemeinschaftsaktion ""Schleswig-Holstein - Land für Kinder""";80,0;80,0;80,0
1012;63402;265;"Zuschuss an den Fonds ""Heimerziehung in der Bundesrepublik Deutschland in den Jahren 1949 bis 1975""";1.798,1;1.075,2;0,0
1012;63403;291;Zuschuss an die Stiftung Anerkennung und Hilfe;0,0;0,0;520,3
1012;63601;291;Erstattungen an Krankenkassen nach Abschnitt 5 des Schwangerschaftskonfliktgesetzes (SchKG);717,9;1.288,3;1.153,1
1012;67101;291;Erstattung von Verwaltungskosten an Krankenkassen nach Abschnitt 5 des Schwangerschaftskonfliktgesetzes (SchKG);56,9;103,1;92,3
1012;67103;236;Erstattungen an Beratungsstellen nach dem Schwangerschaftskonfliktgesetz;2.261,7;2.333,7;3.030,9
1012;67104;265;Leistungen im Rahmen des Ergänzenden Hilfesystems für Opfer von sexuellem Kindesmissbrauch;0,0;220,0;40,0
1012;68101;261;Zuschüsse für die Förderung des ehrenamtlichen Engagements;530,0;550,0;695,0
1012;68102;261;Zuschüsse für Maßnahmen im Rahmen des Deutsch-Französischen Jugendwerkes;19,5;20,0;20,0
1012;68103;261;Zuschüsse für Maßnahmen im Rahmen des Deutsch-Polnischen Jugendwerkes;22,9;20,0;20,0
1012;68105;261;Maßnahmen im Rahmen der deutsch-israelischen Jugendarbeit;0,9;10,0;10,0
1012;68106;261;Maßnahmen im Rahmen der deutsch-tschechischen Jugendarbeit;0,0;10,0;10,0
1012;68107;261;Maßnahmen im Rahmen der deutsch-russischen Jugendarbeit;0,0;10,0;10,0
1012;68108;291;Zuschüsse an sonstige Bereiche für innovative Projekte zur Weiterentwicklung des bürgerschaftlichen Engagements;0,0;12,8;12,8
1012;68201;236;Zuschüsse für laufende Zwecke an öffentliche Unternehmen;60,0;76,8;76,8
1012;68301;236;Zuschüsse für laufende Zwecke an private Unternehmen;210,8;230,4;230,4
1012;68303;291;Zuschüsse an private Unternehmen für innovative Projekte zur Weiterentwicklung des bürgerschaftlichen Engagements;3,0;8,5;8,5
1012;68402;266;Beiträge und Ähnliches an Vereine und Verbände;16,0;17,0;17,0
1012;68403;236;Zuschüsse an Wohlfahrtsverbände und weitere soziale Einrichtungen für nach dem AGInsO anerkannte geeignete Stellen (Verbraucherinsolvenzberatung) und Präventionsmaßnahmen;3.680,4;4.441,1;4.516,8
1012;68404;266;Zuschüsse zu Maßnahmen im Rahmen der Umsetzung des Kinderschutzgesetzes;56,0;75,0;75,0
1012;68405;265;Unterstützung für unbegleitete minderjährige Ausländer;40,0;0,0;0,0
1012;68406;291;Zuschüsse an Verbände, Vereine und ähnliche Institutionen für innovative Projekte zur Weiterentwicklung des bürgerschaftlichen Engagements;120,8;63,5;63,5
1012;68407;261;Zuschüsse für die Internationale Jugendarbeit;43,4;50,0;73,0
1012;68408;261;Zuschuss für Bauspielplatz Roter Hahn e.V.;0,0;0,0;20,0
1012;68409;261;Zuschüsse zur institutionellen Förderung der auf Landesebene anerkannten Jugendverbände;1.068,0;1.069,0;1.101,0
1012;68410;261;Zuschüsse an den Landesjugendring;360,0;360,0;360,0
1012;68411;261;Förderung der landesweit tätigen Beratungs- und Organisationsstelle im Bereich der Schwulen- und Lesbenarbeit NA Sowas;0,0;0,0;0,0
1012;68412;263;Zuschüsse für Angebote zur Bildung, Beratung und Unterstützung von Familien und anderen Lebensgemeinschaften;925,8;934,7;952,4
1012;68413;265;Unterstützung für unbegleitete minderjährige Ausländer;0,0;100,0;100,0
1012;68414;266;Zuschüsse für präventive Maßnahmen freier Träger;160,0;260,2;260,2
1012;68415;291;Allgemeine soziale Maßnahmen wohlfahrtsverbandsunabhängiger Träger;20,2;50,6;50,6
1012;68416;261;Zuschüsse zur institutionellen Förderung von überregionalen freien Trägern;529,0;558,5;558,5
1012;68417;236;Zuschüsse für laufende Zwecke an soziale und ähnliche Einrichtungen;676,8;643,2;643,2
1012;68418;263;Förderung des PETZE Instituts für Gewaltprävention;0,0;0,0;60,0
1012;68419;291;Förderung der Koordinierung des ehrenamtlichen Engagements für Flüchtlinge und mit Flüchtlingen;0,0;500,0;500,0
1012;68420;265;Förderung von Vormundschaftsvereinen mit Erlaubnis gem. § 54 SGB VIII;0,0;100,0;100,0
1012;68421;291;Zuschüsse zur Stärkung des Ehrenamtes und der Selbsthilfe im sozialen Bereich;33,0;47,5;47,5
1012;68422;291;Zuschüsse an Vereine, Verbände und freie Seniorinnen-/Senioren-Selbsthilfegruppen;69,4;95,0;85,0
1012;68423;291;Zuschüsse an den Landesseniorenrat;68,0;68,0;68,0
1012;68424;291;"Zuschüsse an Verbände, Vereine und ähnliche Institutionen für die Einrichtung von Anlauf- und Beratungsstellen ""Ehrenamtliche in der Flüchtlingshilfe""";0,0;1.000,0;1.000,0
1012;68425;265;Erstattung von Kosten für die pädagogische Betreuung in Erstaufnahmeeinrichtungen an Vereine und Verbände;0,0;0,0;0,0
1012;68426;265;Unterbringung von unbegleiteten minderjährigen Ausländern in Pflege- und Gastfamilien und in anderen Formen der Betreuung;0,0;157,6;157,6
1012;68501;261;Ferienwerk Schleswig-Holstein;242,1;250,0;450,0
1012;68502;265;Maßnahmen der Beratung im Umgang mit traumatisierten unbegleiteten minderjährigen Ausländern;0,0;75,0;300,0
1012;88303;261;Zuweisungen für Investitionen in Stätten der Jugendarbeit kommunaler Träger;65,0;81,0;81,0
1012;89301;263;Zuschüsse für Investitionen in Familienbildungsstätten;53,7;60,0;60,0
1012;89303;261;Zuschüsse für Investitionen in Stätten der Jugendarbeit freier Träger;16,0;324,0;324,0
1012;89305;261;Zuschüsse für Investitionen in Jugendherbergen;0,0;185,0;185,0
1012;89306;291;Zuschüsse für Investitionen in Frauenfacheinrichtungen;23,9;0,0;0,0
1012;91901;851;Zuführung an die Rücklage Kap. 1012;0,0;0,0;0,0
1013;11902;139;Rückflüsse aus Kostenübernahmemitteln für die Hochschulen zur Einführung des Dialogorientierten Serviceverfahrens durch die Stiftung für Hochschulzulassung;0,0;0,0;0,0
1013;11905;133;Rückflüsse aus Zuwendungen;0,0;0,0;0,0
1013;11906;162;Erstattungen aus Verrechnungen;0,0;0,0;0,0
1013;17101;142;Rückleitungen des Bundes aus eingezogenen Beträgen nach dem Graduiertenkolleg;0,2;0,0;0,0
1013;18201;164;Allgemeine Darlehensrückflüsse;0,0;0,0;0,0
1013;23102;133;Zuweisungen für Planungskosten im Hochschulbau;0,0;0,0;0,0
1013;23103;139;Einnahmen aus der Beteiligung des Bundes an der Finanzierung zukünftiger Wissenschafts- und Hochschulprogramme;0,0;0,0;0,0
1013;23105;139;Einnahmen aus der Beteiligung an der Finanzierung des Norddeutschen Wissenschaftspreises;89,6;0,0;0,0
1013;23120;133;Zuweisungen des Bundes im Rahmen des Hochschulpaktes 2020 (Phase II);20.874,8;18.751,8;18.316,4
1013;23121;133;Zuweisung des Bundes für die Hochschulen des Landes;0,0;0,0;0,0
1013;23122;133;Zuweisungen des Bundes im Rahmen des Hochschulpaktes 2020 (Phase III);0,0;13.557,4;26.682,6
1013;23203;139;Einnahmen aus der Beteiligung der Länder an der Finanzierung zukünftiger Wissenschafts- und Hochschulprogramme;0,0;0,0;0,0
1013;23721;133;Zuschüsse der EU für die Hochschulen des Landes;0,0;0,0;0,0
1013;28121;133;Beiträge Dritter für die Hochschulen des Landes;0,0;0,0;0,0
1013;28203;139;Einnahmen aus der Beteiligung Dritter an der Finanzierung zukünftiger Wissenschafts- und Hochschulprogramme.;0,0;0,0;0,0
1013;28221;133;Spenden Dritter für Investitionen;0,0;0,0;0,0
1013;33102;133;Erstattungen des Bundes für die Beschaffung von Großgeräten und des Höchstleistungsrechners;0,0;0,0;860,0
1013;35605;851;"Entnahme aus der Rücklage ""Sabbatjahr""";0,0;0,0;0,0
1013;42201;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;1.767,9;1.725,3;1.675,3
1013;42266;133;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;0,0;0,0;0,0
1013;42701;011;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte;0,0;0,0;0,0
1013;42762;133;Honorare;27,1;7,0;7,0
1013;42801;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;779,6;857,2;857,2
1013;42866;133;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;0,0;0,0;0,0
1013;51169;133;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonst. Gebrauchsgegenstände;0,5;23,0;23,0
1013;52662;133;Gutachten;0,0;0,0;30,0
1013;52762;133;Reisekostenvergütungen;0,0;4,0;4,0
1013;53341;133;Planungskosten;0,0;0,0;0,0
1013;53342;139;Regiekosten für Maßnahmen für Menschen mit Behinderung in der Lehre;0,0;5,0;0,0
1013;53369;133;Leistungsentgelte für den Bibliotheksverbund sowie Kosten für Lizenzprogramme;248,4;342,0;352,0
1013;53469;133;Bibliothekstantieme;132,7;540,0;310,0
1013;53741;133;Für allgemeine Hochschulzwecke;75,0;0,0;0,0
1013;53743;133;Anteil des Landes an der Finanzierung zukünftiger Wissenschafts- und Hochschulprogramme für allgemeine Zwecke;0,0;0,0;0,0
1013;54762;133;Nicht aufteilbare sächliche Verwaltungsausgaben;14,3;69,0;69,0
1013;54769;133;Nicht aufteilbare sächliche Verwaltungsausgaben;0,3;5,0;5,0
1013;63212;139;Stiftung für Hochschulzulassung;485,1;550,0;554,0
1013;67101;139;Höchstleistungsrechner Nord - Anteil des Landes an den Energie- und Wartungskosten;186,5;187,0;187,0
1013;68225;133;Zuschuss für Forschung und Lehre (F&L);86.623,0;87.404,0;88.671,0
1013;68226;132;Zuschuss für Investitionskosten und diesen nach dem Krankenhausfinanzierungsgesetz gleichstehenden Kosten;23.260,0;23.260,0;23.260,0
1013;68227;132;Zuschuss für rechtsmedizinische Aufgaben im UKSH;0,0;0,0;970,0
1013;68228;132;Zuschuss für die Medizinaluntersuchungsämter im UKSH;1.100,0;1.100,0;1.133,0
1013;68229;133;Zuschuss für F&L-bedingte Mieten für Anlagegüter im UKSH;0,0;0,0;0,0
1013;68230;133;Zuschuss für F&L-bedingte Mehraufwendungen im UKSH;17.000,0;17.000,0;17.000,0
1013;68342;139;Zuschuss für Maßnahmen für Menschen mit Behinderung in der Lehre;0,0;45,0;270,0
1013;68469;133;Zuweisungen für Maßnahmen zur Erhaltung schriftlichen Kulturgutes und zur Förderung des Open Access;112,5;350,0;350,0
1013;68502;137;Kofinanzierungsanteil des Landes an der Finanzierung der Exzellenz-initiative;3.952,4;3.800,0;3.800,0
1013;68503;133;Hochschulpakt 2020 (Phase II);44.309,8;37.167,6;30.937,0
1013;68504;133;Zuschuss für allgemeine Hochschulangelegenheiten;6,2;0,0;0,0
1013;68505;133;Hochschulpakt 2020 (Phase III);0,0;27.539,4;53.365,2
1013;68506;133;Hochschulvereinbarung Schleswig-Holstein;9.425,0;14.547,6;19.603,3
1013;68509;133;Anteil des Landes an der Finanzierung der deutsch-französischen Hochschule;44,5;48,0;55,0
1013;68510;142;Beitrag des Landes an die Studienstiftung des deutschen Volkes;100,8;101,7;103,7
1013;68511;139;Deutsches Zentrum für Hochschul- und Wissenschaftsforschung - DZHW GmbH;164,0;0,0;0,0
1013;68512;139;Hochschulrektorenkonferenz - HRK -;70,7;70,0;75,0
1013;68513;139;Anteil an den Kosten des Wissenschaftsrates - WR -;94,7;97,0;97,0
1013;68514;139;Anteil des Landes an den Kosten des Akkreditierungsrates;13,5;23,5;24,2
1013;68515;139;Anteil des Landes an der Finanzierung des Norddeutschen Wissenschaftspreises;111,3;25,0;25,0
1013;68516;139;Wissenschaftliche Untersuchungen und Analysen;0,0;64,1;98,0
1013;68517;139;Anteil des Landes an den Kosten für das hochschulrechtliche Dokumentationssystem;0,5;0,5;0,5
1013;68518;139;HIS-Institut für Hochschulentwicklung e.V.;0,0;61,4;61,4
1013;68519;139;Länderfinanzierte Sonderumlagen der KMK;0,0;0,0;1,0
1013;68520;139;Exzellenz- und Strukturbudget;5.829,1;4.900,0;5.000,0
1013;68521;133;Zuschuss an die Universität Kiel;154.085,4;158.408,4;160.580,4
1013;68522;133;Zuschuss an die Universität zu Lübeck;24.764,6;25.745,2;26.170,2
1013;68523;133;Zuschuss an die Europa-Universität Flensburg;19.902,7;20.691,4;21.161,2
1013;68524;133;Zuschuss an die Musikhochschule Lübeck;7.076,2;7.476,7;7.526,7
1013;68525;133;Zuschuss an die Hochschule Flensburg;14.312,6;15.240,0;15.715,0
1013;68526;133;Zuschuss an die Fachhochschule Kiel;22.095,9;23.550,5;24.300,5
1013;68527;133;Zuschuss an die Fachhochschule Lübeck;18.425,1;19.347,8;19.822,8
1013;68528;133;Zuschuss an die Fachhochschule Westküste in Heide;5.706,3;6.336,6;6.661,6
1013;68529;133;Zuschuss an die Muthesius Kunsthochschule, Kiel;5.657,1;5.802,6;5.877,6
1013;68541;133;Zuschuss an Hochschulen für allgemeine Hochschulzwecke;150,8;364,2;404,2
1013;68542;133;Zuschuss für Maßnahmen zur Verbesserung der Bildungschancen und Integration von Flüchtlingen an den Hochschulen;0,0;2.206,7;2.500,0
1013;68544;139;Anteil des Landes an der Finanzierung zukünftiger Wissenschafts- und Hochschulprogramme für die Hochschulen;0,0;0,0;0,0
1013;68571;134;Zuschuss für den laufenden Betrieb;1.750,0;1.750,0;1.750,0
1013;68572;133;Zuschüsse an Hochschulen in staatlicher Trägerschaft;0,0;0,0;0,0
1013;68601;163;Zuschuss für den laufenden Betrieb des Phänomenta e.V.;0,0;75,0;75,0
1013;68669;162;Zuschüsse an die Deutsche Digitale Bibliothek und das Kompetenznetzwerk Bibliotheken;22,1;35,0;45,5
1013;71169;133;Einbau von Datenverarbeitungsanlagen;0,0;0,0;0,0
1013;81202;133;Erwerb eines norddeutschen Höchstleistungsrechners;0,0;0,0;970,0
1013;81269;133;Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen;0,0;0,0;0,0
1013;89101;133;Zuschuss für Investitionen im Hochschulbereich;0,0;0,0;0,0
1013;89123;133;Zuschuss für Investitionen im UKSH;0,0;0,0;0,0
1013;89242;139;Zuschuss für Investitionen für Maßnahmen für Menschen mit Behinderung in der Lehre;0,0;40,0;0,0
1013;89271;134;Zuschuss für Investitionen;0,0;0,0;0,0
1013;89301;133;Zuschuss für die Beschaffung von Großgeräten an Hochschulen;755,9;0,0;750,0
1013;89302;132;Zuschuss für die Beschaffung von Großgeräten im UKSH;1.477,0;0,0;750,0
1013;89321;133;Zuschuss für Investitionen bei der Universität Kiel;4.240,7;4.240,7;4.240,7
1013;89322;133;Zuschuss für Investitionen bei der Universität zu Lübeck;811,8;811,8;811,8
1013;89323;133;Zuschuss für Investitionen bei der Europa-Universität Flensburg;121,1;121,1;121,1
1013;89324;133;Zuschuss für Investitionen bei der Musikhochschule Lübeck;28,9;28,9;28,9
1013;89325;133;Zuschuss für Investitionen bei der Hochschule Flensburg;383,1;383,1;383,1
1013;89326;133;Zuschuss für Investitionen bei der Fachhochschule Kiel;921,7;921,7;921,7
1013;89327;133;Zuschuss für Investitionen bei der Fachhochschule Lübeck;483,0;483,0;483,0
1013;89328;133;Zuschuss für Investitionen bei der Fachhochschule Westküste in Heide;142,2;142,2;142,2
1013;89329;133;Zuschuss für Investitionen bei der Muthesius Kunsthochschule, Kiel;102,2;102,2;102,2
1013;91605;851;"Zuführung an die Rücklage ""Sabbatjahr""";3,0;0,0;0,0
1014;11904;164;Rückflüsse aus Zuwendungen;32,7;0,0;0,0
1014;13101;164;Einnahmen aus Verkauf von Restgrundstücken XFEL;0,0;0,0;0,0
1014;23103;164;Zuweisungen des Bundes für das Forschungszentrum Borstel;10.167,0;13.560,9;14.535,0
1014;23106;164;Zuweisungen des Bundes für das Leibniz-Institut für die Pädagogik der Naturwissenschaften und Mathematik;4.339,0;4.525,0;4.728,0
1014;23107;164;Zuschuss des Bundes für das Institut für Weltwirtschaft;4.675,0;5.332,0;5.153,0
1014;23108;164;Zuweisungen des Bundes für die Zentralbibliothek für Wirtschaftswissenschaften;11.173,5;11.607,5;12.129,6
1014;23201;164;Einnahmen aus der gemeinsamen Länderfinanzierung von Einrichtungen der wissenschaftlichen Forschung;8.454,3;8.221,0;8.092,0
1014;27101;023;Erstattungen der Europäischen Union für INTERREG-Projekte;0,0;5,0;23,0
1014;33401;813;Entnahme für den Zuschuss für Investitionen an das Forschungszentrum Borstel aus dem Sondervermögen IMPULS 2030;0,0;0,0;0,0
1014;33402;813;Entnahme für den Zuschuss für Investitionen an das Institut für Weltwirtschaft aus dem Sondervermögen IMPULS 2030;0,0;0,0;0,0
1014;52701;023;Dienstreisen im Zusammenhang mit INTERREG-Projekten;0,0;2,5;5,0
1014;53401;165;Beteiligung an Veranstaltungen der außeruniversitären Forschungseinrichtungen;0,0;0,0;0,0
1014;54619;164;Rückzahlung zuviel erhaltener Beträge aus der gemeinsamen Länderfinanzierung von Einrichtungen der wissenschaftlichen Forschung;109,9;0,0;0,0
1014;54701;023;Abwicklung von INTERREG-Projekten;0,0;2,5;32,0
1014;68414;164;Zuführung von Haushaltsmitteln der WGL-Einrichtungen in Schleswig-Holstein zum Haushalt der Deutschen Forschungsgemeinschaft;958,3;0,0;0,0
1014;68501;164;Zuschuss für den laufenden Betrieb des Zentrums für baltische und skandinavische Archäologie (ZBSA);1.737,8;1.790,0;1.843,6
1014;68503;165;Zuschuss für allgemeine Forschungsangelegenheiten;0,0;0,0;0,0
1014;68511;165;Zuwendungen an Dritte;0,0;0,0;0,0
1014;68512;164;Anteil des Landes an der Finanzierung der Max-Planck-Gesellschaft - MPG -;17.467,3;18.472,4;18.000,0
1014;68513;137;Anteil des Landes an der Finanzierung der Deutschen Forschungsgemeinschaft;28.031,9;28.000,0;28.200,0
1014;68514;164;Anteil des Landes an der Finanzierung der NAKO Gesundheitsstudie;152,0;152,0;152,0
1014;68515;164;Anteil des Landes an der Finanzierung von drei Deutschen Gesundheitszentren;950,0;1.200,0;950,0
1014;68516;164;Akademienprogramm;1.047,8;1.051,2;1.051,2
1014;68517;164;acatech - Deutsche Akademie der Technikwissenschaften;42,5;42,5;42,5
1014;68518;164;Zuschuss für den laufenden Betrieb des XFEL;58,0;114,0;1.000,0
1014;68519;139;Deutsches Zentrum für Hochschul- und Wissenschaftsforschung - DZHW GmbH;0,0;12,0;58,0
1014;68521;164;Zuschuss für den laufenden Betrieb an das Forschungszentrums Borstel;17.916,5;18.384,2;18.902,0
1014;68567;164;Zuschuss für den laufenden Betrieb an das Leibniz-Institut für die Pädagogik der Naturwissenschaften und Mathematik;7.651,6;7.960,0;8.106,1
1014;68601;023;Zuschüsse für INTERREG-Projekte;0,0;0,0;0,0
1014;68663;164;Betriebszuschuss an das Helmholtz-Zentrum Geesthacht (Zentrum für Material- und Küstenforschung GmbH);4.510,1;4.864,8;5.229,0
1014;68668;164;Zuschuss für den laufenden Betrieb an das Institut für Weltwirtschaft;8.649,4;9.113,3;9.274,1
1014;68669;164;Zuschuss für den laufenden Betrieb der Zentralbibliothek für Wirtschaftswissenschaften;21.301,6;21.654,9;22.043,4
1014;71167;164;Kleine Neu- Um- und Erweiterungsbauten für das Institut für die Pädagogik der Naturwissenschaften und Mathematik;280,0;280,0;280,0
1014;71168;164;Kleine Neu- Um- und Erweiterungsbauten für das Institut für Weltwirtschaft;75,0;25,0;25,0
1014;71169;164;Kleine Neu- Um- und Erweiterungsbauten der Deutschen Zentralbibliothek für Wirtschaftswissenschaften;185,7;28,7;28,7
1014;82111;164;Erwerb von Grundstücken für den Freie-Elektronen-Röntgenlaser XFEL;13,0;0,0;0,0
1014;88212;164;Anteil des Landes an der Finanzierung eines großen Forschungsschiffes;96,3;0,0;0,0
1014;89101;165;Zuschuss für Investitionen im Forschungsbereich;0,0;0,0;0,0
1014;89212;164;Anteil des Landes an den Investitionskosten für den Freie-Elektronen-Röntgenlaser (XFEL);370,0;0,0;0,0
1014;89221;164;Zuschuss für Investitionen an das Forschungszentrum Borstel;2.358,0;5.049,0;10.884,0
1014;89363;164;Investitionszuschuss an das Helmholtz-Zentrum Geesthacht (Zentrum für Material- und Küstenforschung GmbH);1.427,8;1.105,9;1.105,9
1014;89367;164;Zuschuss für Investitionen an das Leibniz-Institut für die Pädagogik der Naturwissenschaften und Mathematik;180,0;180,0;180,0
1014;89368;164;Zuschuss für Investitionen an das Institut für Weltwirtschaft;129,0;911,2;929,0
1014;89369;164;Zuschuss für Investitionen an die Zentralbibliothek für Wirtschaftswissenschaften;765,0;765,0;765,0
1014;98121;891;Erstattung von Versorgungslasten;0,0;90,8;92,0
1014;98167;891;Erstattungen von Versorgungslasten;355,1;374,0;378,9
1014;98168;891;Erstattung von Versorgungslasten;266,3;317,7;321,9
1014;98169;891;Erstattung von Versorgungslasten;71,1;109,4;110,9
1015;23104;142;Bundesanteil an der Ausbildungsförderung für Zuschüsse an Studierende;33.031,8;34.800,0;36.800,0
